review,rating,sentiment,split
"What a bad, bad movie! I tried watching without fast forwarding...That failed. After about 30 minutes I stopped the movie, went on-line to see how many minutes this disaster was. (Only 84 minutes, Whew!) It was a confusing, boring movie. I don't think anyone can get knocked down by getting hit with a fluorescent bulb much less gutted by one!! The one funny thing is that I watched ""The Killer Cut"" version of the movie. The box boldly states ""More Blood!"" ""More Sex!"" ""More Terror than the theatrical release!"" Yikes! If this movie was horrible with all those claims I wonder just how lame the ""UN-Killer Cut"" was??? If you want to see a great movie about the world of the living & the world of the dead watch any of The Night of the Living Dead series!!",1,0,train
"Before this made for TV movie began, I had relatively low expectations. That's because it was made after the final episode of the series had aired and many of the series originals were gone. There is no President Sheridan, Delenn, Lennier, Londo, Vir, G'kar or Lyta. If you remember, on the second to last episode of the series, all the regulars except Zack, Vir and Captain Lockley left B-5 permanently. Now for this film they did bring back Garibaldi (who was not in the last B-5 movie) to join Zack and the Captain and the Doctor makes a brief and irrelevant appearance. But because so much is gone of the old chemistry, this film already is severely handicapped.<br /><br />The movie is about a Soul Hunter (Martin Sheen) who is led to Babylon 5 in search of a globe filled with souls that had been stolen from a hidden repository by an archaeologist (Ian McShane). A lot of spooky mumbo-jumbo stuff occurs but frankly it was all pretty silly and pointless. Yeah, yeah, the station nearly blew up but was saved and all, but frankly I felt like it was a case of ""been there done that--and done that a lot better in the past"".<br /><br />The secondary plot, provided more for comic relief, was much more interesting, as an entrepreneur installed a holo-brothel and those in command weren't sure what to do about it and when they tried to pressure them to close, they were slapped with a lawsuit. This was fluff, but it did provide a few laughs--something the other dreary plot was surely lacking.<br /><br />By the way, Sheen at first did a good job playing the Should Hunter--with his wild eyes and bizarre delivery. However, repeatedly throughout the episode he fell out of character. This should have been spotted and corrected.<br /><br />So the final verdict is this is only for total die-hard B-5 nuts (like myself). Others seeing it might assume the series sucked--which is a great injustice. This is a great example of a show not knowing when to quit.",4,0,train
"I can't imagine anyone would ever, in a million years, want to watch this movie. Not because it was one of the worst ever made (it wasn't), but largely because it's about 20 years old and oh-so-out of the mainstream. I was trying to find out where I saw an actor before and this popped up. So, yeah, a kid stops playing little league because he doesn't like nukes, this prompts major media attention and a quick resolution to the cold war. The end. A fantasy, to be sure, but one so cockeyed it would make John Lennon blush. Since terrorism has replaced communism as the -ism that scares the hell out of us, this movie really has no relevance, except as an (innaccurate) look back at those times. The writing, acting, and film craft are similarly undeveloped. The reason I rated it as highly as I did was because I watched this movie around 50 times while I was 5-6 years old and still have a little place in my heart for it, but I now realize that it doesn't quite cut mustard. So, if the law of large numbers holds true and someone eventually does decide to check out this movie, realize that there are much better ways to spend your time, but also much worse ones. (I will refrain from a John Q. tirade for now.)",3,0,train
"Attack Force has a horrendous title, and can almost certainly be judged by it's awful cover, because the film is horrible! A mish-mash of plot lines, a choppy mess, and a horribly stagnated pace, make the film hard to watch start to finish. I managed this and I'm proud. As a fan of Seagal's work (mostly of his old days), it's painful to see him star in such tripe. True Seagal's last half dozen movies or so, have sucked a lot, but some of them at least had some redeeming features. Attack Force is a mess. From conception to delivery this film has undergone many changes, from an alien plot line, to the current one about a highly addictive super drug, about to be unleashed on the Romanian (the film has several settings, none of which are Romanian, but all look like Romania because they are in Romania!) populace. The film is tacked together with little regard for whatever state the original shooting script was. Plot-holes and loose ends are abound in the film that's for sure. That's been a problem in Seagal's last few films as well, but never has the result been so boring. There's a whole plot line about the water supply being poisoned with CTX (that's the drugs cool name) that is never resolved! <br /><br />Of course in recent years the plot's haven't been the main draw in the Seagal canon so there was a big onus on the other departments, especially the action. Before I regard the action though, all the other departments are poor. The direction is poor, or perhaps better put, made to look poor. Who knows how director Michael Keusch originally intended this film? Between him finishing his job, the re-shoots by stunt man Tom Delmar, and the editing, a coherent auteur vision is completely lost. The best way to describe the film is that it's just all over the shop! The cinematography is dull, nearly inducing sleep, while the droning score (sounding like it was produced on the cheapest of cheap synthesizers) does nothing to excite matters. The cast too are poor, unable to salvage anything here. Seagal looks bored beyond recognition, and is dubbed through much of the picture, clearly when plot-points are being changed. He looks tired and overweight, and lethargic, unlike he's looked in previous pictures too (remarkable as the aforementioned have been key complaints in Seagal's recent pictures). The only redeemable cast member is Adam Croasdell as one of the villains, doing a slimy Brit routine. He seems to be a throwback to the alien plot line, because he's playing it inhuman. He seems like a cross between a body snatcher and a vampire (ditto to the lead villain played by some hot chick who appears on occasion, seemingly waiting for her husband Dracula).<br /><br />Finally the action. Well it's poor. Poorly conceived, poorly shot. There's not much either, and there's even less featuring Seagal. Stevo doesn't really bring out the stunt double here, because there's so little to do. There's even a lengthy (repetitive and boring) action scene on the hour mark that inter-cuts occasionally with little flashes of Seagal's stand in because clearly Seagal wasn't there while the scene was being shot, and they wanted to have him feature in the action scene. Seagal eventually appears in person to shoot two guys in the head. Seagal has a producers credit here and a script credit, but from what I understand the film has been altered behind his back to the current state it's in. Seagal will apparently not be working with these people again, or with Castel Studio's who continue to deliver horrifically sub-Nu-Image (that's saying something), material.<br /><br />Overall this is one to avoid if you are not a Seagal fan. Seagal fans can also be safe in the knowledge that the big man probably won't want to do anything this bad again. Unfortunately his next film which has already been shot, with the same people, promises to be even worse than this. *",2,0,train
"This is a film that belongs firmly to the 50's. Very surprising that American Film Institute has chosen this one for one for the best 100 American movies of all-time. I have seen practically all of the movies on that list, and this one is by far the most disappointing one of those. Musical numbers (and there many, many of them) are VERY overlong and boring, and have absolute no connection with the story. The end of the movie has horribly over-long ballet sequency, which naturally has no real relation to the story of the movie. It must be admitted, that it is very well made, the music is OK, and the dancing done with the highest professional standard - but there is no real reason why the sequence is included in the movie.<br /><br />The main character of the movie is extremely childlish and unlikeable and behaves in unpolite way. His mental age is about 14. If you want to see a good musical made on the ""golden age"" of musicals, go and see ""Singing in the Rain"".",2,0,train
"I realize that living in the Western Plains of Wyoming during the 1900s was brutal, in fact, it probably is still brutal today, but was it monumental enough to transform into a seemingly ""made-for-TV"" movie? Also, women's rights were still budding in this nation during this time, so to find an independent woman determined to start fresh in this harsh territory, and still show the realism of the era  would it make for good viewing? Honestly, I don't know. I have thought about this film for the past two days, and I still can't seem to muster the strength to say that it was a horrible film, yet I can truthfully tell you that it wasn't the greatest I have ever seen. From several hodgepodge styles of acting, to two mismatched actors playing devoid of emotion character, to some of the most gruesome PG rated scenes to ever come out of late 70s cinema, it is hard to fully get a good grasp on Heartland. Was it good? Was it bad? That may be up for you to view and decide yourself, but until then, here are moments I enjoyed and desperately hated! <br /><br />This film continues to be a struggle in my mind because there were some very interesting scenes. Scenes where I wasn't sure what the director was doing or which direction he was headed, but somehow still seemed to work well as a whole. I thought the story as a whole was a very interesting, historical tale. I do not know much about living in Wyoming, especially during the early 1900s, so this film captured that image in my mind. The thought of very cold winters, no neighbors for miles upon miles, and this Polaroid-esquire view untouched by corporate America. It was refreshing to witness and sheer breathtaking to experience (though the television). There were scenes that really stood out in my mind, like the cattle-branding scene, the pig slaughtering scene, and the saddening homesteader that didn't survive their journey, that just brought a true sense of realism to this story. Director Richard Pearce did a great job of bringing the view of Wyoming to the viewers, but I am not sure he brought decent players to accompany the view.<br /><br />While I will constantly compliment the scenery of this film, I had trouble coping with the actors that seemingly walked on the set and read their lines from cards on the side. Rip Torn seemed out of place in his role as Clyde Stewart, a loner that somehow finds a connection with Conchata Ferrell's Elinore Randall. The two as actors have no chemistry at all. Their scenes that they share together are pointless and honestly void of any emotion. The pregnancy scene nearly had me in stitches because of the way these two ""veteran"" actors portrayed it. The brave Elinore does what she has to do to get the child out of her, while Clyde gives an approving nod when she is done. This is love? Was it supposed to be love? I don't know, I think with stronger characters we would have seen a stronger bond, but with Torn and Ferrell, it felt like two actors just playing their parts. Other scenes that just seemed to struggle in my mind were ones like when the frozen horse ""knocks"" on the door for food or shelter, the constantly fading and growing compassion that Clyde had for Elinore's daughter (I just didn't believe it), the lack of true winter struggle, and the entire land scene. The land scene especially because I needed more explanation on what Elinore was doing, why she was doing it, and why Clyde would build her a house if they were married! It was these simple events that if taken the time to explore, would have made for a stronger film.<br /><br />Overall, I will go middle of the road with this feature. There were definitely elements that should have been explored deeper, such as the relationship between these two strangers and the ultimate homesteading goals of Elinore, but they were countered with some beautiful scenes of our nation. These panoramic scenes which, in the span of 100 years, have changes from vast mountains to enormous skyscrapers. While there were some brilliant scenes of realism (starring cattle and pigs), I just felt as if we needed more. Depth was a key element lacking in this film, which was overshadowed by marginal acting and a diminishing story. Pearce could have dove deeper into this untapped world, but instead left open loopholes and clichéd Western characters. Ferrell carried her own, but Torn was completely miscast. Decent for a viewing, but will not be picked up again by me.<br /><br />Grade: ** out of *****",4,0,train
"An illegal immigrant resists the social support system causing dire consequences for many. Well filmed and acted even though the story is a bit forced, yet the slow pacing really sets off the conclusion. The feeling of being lost in the big city is effectively conveyed. The little person lost in the big society is something to which we can all relate, but I cannot endorse going out of your way to see this movie.",3,0,train
"The cliché of the shell-shocked soldier home from the war is here given dull treatment. Pity a splendid cast, acting to the limits of their high talents, can't redeem 'The Return of the Soldier' from its stiff-collared inability to move the viewer to emotional involvement. Best moments, as another reviewer noted, come when Glenda Jackson is on screen; but even Jackson's crackling good cinematic power can't pull this film's chestnuts from its cold, never warmed hearth. Ann-Margret, she of sex-kitten repute and too often accused of lacking acting ability, finds her actual and rather profound abilities wasted here - despite her speaking with a nigh-flawless Middlesex accent. The hackneyed score, redolent of many lackluster TV miniseries' slathered-on saccharine emotionalism, is at irritating odds with the emotional remoteness of the script, blocking, and overbaked formalism of the direction; except for its score and corseted script and direction, 'The Return of the Soldier' has all the right bits but it fails to make them work together.",3,0,train
"Well, what can you say about sitcoms. There often quite lame, morale dedicative, and just plain. So is this show! It got a boring cast, although A.Bynes is okej in her perky way, the rest is just stereotypical crap....as always. We have all seen it before, and will probably see it all over again when this show is cancelled. Cause, lets face it, its a mediocre and self righteous show. As the most sitcoms are....<br /><br />Well, in short. If you wanna see some good entertainment, you can rather take a twenty minute pause in front of the mirror. Do some faces and move on.... Its more entertaining than this show!",1,0,train
"Being a big fan of Corman's horror movies I expected from his western a bit more than I got. Well, I was entertained all right. I had almost as many laughs as watching Mel Brooks' Blazing Saddles.<br /><br />See the spectacle of mobile tire tracks on the prairie of the old west. You can kill time by counting them if there happens to be an otherwise boring scene going on. And the horses seem to have gears in them too, considered the fast-forward chases. See also the swinging bar room queens of the traditional wild west saloon doing a number that reminds of a certain fashionable dance from 1920's, here decades before the style was invented. Hope the saloon around them won't crumple.<br /><br />In the middle of all this mayhem the main actors do a decent job. Ireland, Garland and Hayes are all truly fine. A special praise for them for doing the best they could with the material that seems mostly having been lifted from 'Johnny Guitar', but doesn't quite impress the same way. But there is really nothing wrong with a laughable western like this. Just like a really bad old horror movie, it might fail one way but succeeds to give joy anyway. That is one of the reasons Corman's work appeals to me and that is why I dare to recommend you to experience this movie if you get the chance.",4,0,train
