review,rating,sentiment,split
"This film (like Astaire's ROYAL WEDDING - which was shown after it on Turner Classic Network last night) is famous for a single musical sequence that has gained a place in Gene Kelly's record: Like Fred Astaire dancing with a clothing rack and later dancing around a room's walls and ceiling, this film had Gene Kelly dancing in a cartoon sequence with Jerry Mouse. The sequence is nicely done. What is forgotten is that Kelly is telling the story behind the cartoon sequence to Dean Stockwell and his fellow child students at school during a break in the day, and sets the stage for the sequence by having Stockwell and the others shut their eyes and imagine a pastoral type of background. Kelly even changes the navy blues he actually wears into a white ""Pomeranian"" navy uniform with blue stripes on it. Jerry Mouse does more than dance with Gene. He actually talks - a first that he did not repeat for many decades. He also finally puts Tom Cat into his proper place - Tom briefly appears as King Jerry's butler, trying to cheer him with a platter of cheeses.<br /><br />But the sequence of the cartoon with Kelly took about seven minutes of the movie. Far more of this peculiar film is taken up with Kelly's story of the lost four day furlough in Hollywood, and how Kelly ends up meeting Katherine Grayson and (with Frank Sinatra) stalking Jose Iturbi at the MGM film studio, the Hollywood Bowl, and Iturbi's own home. Except that the two sailors mean no harm this film could have been quite disturbing.<br /><br />Kelly has saved Sinatra's life in the Pacific, and is getting a medal as a result. They are both among the crewmen back in California who are getting a four day leave. But the script writers (to propel what would be a short film - Kelly has plans to spend four days having sex with one ""Lola"", an unseen good time girl in Hollywood) saddle Gene with Frank. <br /><br />It seems Frank is one of those idiots that appear in film after film of the movie factories (particularly musical comedies) who are socially underdeveloped and in need of ""instruction"" about meeting girls (or guys if the characters are women). Frank insists that Gene help ""teach him"" how to get a girl. Just then a policeman takes them to headquarters to help the cops with a little boy (Stockwell) who insists on joining the navy (and won't give the cops his real name and address). When a protesting Kelly is able to get this information out of Stockwell by asking him some straight questions (which the cops could not ask), they insist Kelly take the boy home to his aunt (Grayson). Still protesting, Kelly gets saddled with increasingly complicated problems (mostly due to Sinatra's simplistic soul view of things). He misses seeing Lola the next day by sleeping late - Sinatra felt he looked so peaceful sleeping he did not wake him up. He keeps getting dragged back to Grayson's house, as Sinatra feels she is the right woman for himself, but needs Kelly to train him in love making.<br /><br />I suppose my presentation of the plot may annoy fans of ANCHORS AWEIGH, but I find this kind of story irritating. While the singing and dancing and concert music of Kelly, Sinatra, Grayson, and Iturbi are first rate, it is annoying to have to take the idiocies of someone like Sinatra's character seriously. In the real world Kelly would have beaten the hell out of him at the start for following him at the beginning of the four day furlough - what right has he to insist (as Sinatra does) that someone who saves their life should assist him on learning how to date? That kind of crap always ruins the total affects of a musical for me - unless the musical numbers are so superior as to make me forget this type of nonsense.<br /><br />The stalking of Iturbi is likewise annoying. Kelly tries to get Grayson to like Sinatra when he says Sinatra can get her a meeting with Jose Iturbi to audition her singing ability. For much of the rest of the picture Sinatra and Kelly try to do that, and keep floundering (at one point - for no really good reason - Grayson herself ruins Kelly's attempt to get an interview at MGM with Iturbi). It is only sheer luck (that Iturbi feels sorry for an embarrassed Grayson) that she does give him an audition of her talent. <br /><br />Kelly, by the way, ends up with Grayson. Sinatra's conscience at not being able to help her see Iturbi makes him ashamed of his bothering her (but not pulling Kelly into it, oddly enough) and he meanwhile accidentally stumbles into meeting a waitress (Pamela Britton) from his native Brooklyn. And naturally, without any assistance from Kelly, Sinatra and Britton fall in love. Ah,""consistency""! Thy name is not ""screenwriting"" necessarily!",10,1,train
"Forbidden Planet represents the kind of science fiction that is precious in cinema, especially from the 1950s. There was The Day the Earth Stood Still and War of the Worlds, but lest not forget this gem which took some of its story from Shakespeare's The Tempest to tell a tale of astronauts on a planet that has a doctor on it who has made a remarkable breakthrough. It's the kind of breakthrough that is not so much incredible to look at (though for 1956 it does look quite amazing to look at some of those sets and that gigantic machine the doctor creates), but with its emphasis on the characters and its themes of technology taken too far by the more primitive side of human nature even when we don't know we're channeling it.<br /><br />On the surface- that is in the first ten minutes- it looks standard, if a little more professionally acted and directed with better skill than the B-movies of the period. A ship of astronauts are on a mission to the planet Altair-4 to bring back an expedition that went missing decades before. But the only one left is Dr. Morbis (Walter Pidgeon) and his daughter, who somehow were immune to an attack that left everyone else dead. Morbius appears to be a cordial and highly intelligent man, and his technology looks to be so impressive that the only thing the astronauts, led by the Skipper (Leslie Nielsen), can think to do is to report it back to their superiors on Earth.<br /><br />But there's a catch - something is killing off members of the crew of the ship, one by one, every night, even when the others keep an eye out and then put up an invisible electric fence, which the invisible something goes through easily. Meanwhile, there's some romance possibly between the Skipper and Alraira, and there's a more pushy vibe from the doctor: you shouldn't have come to the planet to start, and now you need to go. What happens from this is even more fascinating, just on a purely intellectual level, but Forbidden Planet never forgets that its audience should also be entertained by this story while getting some useful ideas. While everyone may remember Robbie the Robot, and for good reason, perhaps the most unforgettable image for me is the monster realized on screen with the crew firing to no avail, animated with red electricity and looking so beastly that it looks out of Fantasia.<br /><br />The acting from Pidgeon is subtle: you wouldn't expect him to be a villain, though something is there in the character and in the performance that speaks to this, and by the end it makes the character far more complex than one would expect. And the other performances are workmanlike but also excellent, from Nielsen as a born leader to Holliman providing some great comic relief as the Cook (who, I should add, helps with one of the funniest scenes in the film with those gallons of bourbon Robbie provides). And the effects for its time are extraordinary (sophisticated in a nostalgic pulp way for today too), and the music, done by electronics, is beautiful in its ""tones"". But ultimately it's the screenplay and careful direction from Hilcox that puts this a notch above the rest of the B-movie lot. When it's meant to be funny, it's intentionally so and it works. When it's dramatic it connects quite well even in its stiff moments with the actors. And when we are made to think about a horrible situation, it comes on gradually, with nuance, not shoved in our faces or injected with mega-action.<br /><br />An inspiration for many other sci-fi films, and a fine marker of thoughtful science fiction stories and books from time-old, it's a classy and entertaining classic.",10,1,train
"I've been waiting for a superhero movie like this for a long time. ""Mystery Men"" takes its place among the classic comic-strip spoofs on TV like ""Batman"" and ""Captain Nice"" and cartoons like ""Underdog"" and ""Super Chicken."" The same spirit lives in all of them: the comic tongue-in-cheek tone; the courage to aim for the heroic in life at the risk of looking ridiculous; the not-so-sure-footed way that these characters manage to prevail over their adversaries. It's the misfired spark of nobility igniting in the weak and the ordinary, and it's wonderful to see it glow so high and bright here.<br /><br />""Mystery Men"" opens on a party at a nursing home. I wish Kinka Usher had had the sense to give more energy and life to the old people in the scene. As it is, it looks like something George Romero might have devised. We need to get the feeling that these old people are as sharp as everyone else, or it feels patronizing. By the time the Red Eyes crash the festivities, you half expect Tom Waits who plays a weapons inventor with a penchant for ladies in their eighties to stand up and shout: ""Just what this party needs--a little excitement!"" If writer Neil Cuthbert had any sense, he would have had Waits mixing it up with the intruders and egging on the partiers to do the same. It would have made for a rousing beginning, and a better introduction of the troublesome trio: the Shoveler (William Macy); the Blue Raja (Hank Azaria); and Mr. Furious (Ben Stiller), who seem to come out of nowhere to save the day. <br /><br />There are many other problems to ""Mystery Men"" than I care to go into; among them that the villain Casanova Frankenstein needs to have as cultivated a sense of the absurd as the rest of the people in this movie, and he doesn't. Geoffrey Rush is the wrong actor for the part; he needs to be way over the top to make the conflict between good and evil a galvanic one. And Rush has never exhibited a talent for the outre. You hope for the ripe theatrics of a John Lithgow in ""The Adventures of Buckaroo Banzai"" or the dry, debonair diffidence of a Paul Freeman in ""Raiders of the Lost Ark."" Instead what we get is pastiche; something half-baked and not fully realized.<br /><br />There are too many ideas running through ""Mystery Men"" for anyone to tie them neatly together, and that may be its deepest problem. But whatever kind of a mess it is is the kind of mess I love. Ben Stiller has always seemed to be slumming in the roles he takes. This one is no exception, but he goes at it with such conviction that you come away feeling that he'd learned something about comedy growing up in a household run by Jerry Stiller and Anne Meara. His Roy is related to all the put-upon, overly sensitive, chronically defensive types that Woody Allen made popular. And whether it's wheedling his way into the affections of the waitress at his favorite hangout (the sleek Claire Forslani), or questioning the wisdom of a fellow superhero (Wes Studi as the Sphinx), or giving a new member of their ""elite"" group (Jeaneane Garofalo in what are possibly her funniest moments on screen) a hard time, he makes it always fun to watch. I couldn't exactly say that about him in ""There's Something About Mary.""<br /><br />Jeaneane Garofalo proves with this performance that she should have been the star of ""One True Thing,"" not Renee Zellweger. I don't think I have ever seen funnier exchanges between a daughter and father (okay, so he's dead and his skull is in a bowling ball, so sue me) in the movies. And the funny part about this role is that it feels like a screwball reprise of Emily Watson's spellbinding talks with God in ""Breaking the Waves."" And in this version, the girl doesn't die, and bells don't ring in your head.<br /><br />William H. Macy does something very difficult; he makes stolid magnetic. You understand right away what's attracted Jenifer Lewis' Lucille to Eddie. You can also understand her exasperation. The barbecue alone would be enough to drive me over the edge, but when Eddie's adorable, half-breed son looks up at his father and says ""I believe in you, Daddy."" to which Lucille sighs and exclaims, ""Roland, don't encourage your father,"" you feel like standing and hailing Neil Cuthbert as a first-rate wit. <br /><br />With Hank Azaria (whose only moment of note in film up to this point was his bare behind in ""The Birdcage"") and Louise Lasser (Has it been more than two decades since we first took note of her in ""Bananas"" and ""Mary Hartman, Mary Hartman?"") as son and mother who share a fondness for silverware; Greg Kinnear as Captain Amazing and Ricky Jay as his publicist; Kel Mitchell as ""Invisible Boy""; Paul Reubens as ""The Spleen;"" and Lena Olin who, if she didn't have the few lines in this movie that she has, would seem to be visiting the set.",8,1,train
"During a Kurt Weill celebration in Brooklyn, WHERE DO WE GO FROM HERE? was finally unearthed for a screening. It is amazing that a motion picture, from any era, that has Weill-Gershwin collaborations can possibly be missing from the screens. The score stands tall, and a CD of the material, with Gershwin and Weill, only underscores its merits, which are considerable. Yes, the film has its problems, but the score is not one of them. Ratoff is not in his element as the director of this musical fantasy, and Fred MacMurray cannot quite grasp the material. Then, too, the 'modern' segment is weakly written. BUT the fantasy elements carry the film to a high mark, as does the work of the two delightful leading ladies - Joan Leslie and June Haver. Both have the charm that this kind of work desperately needs to work. As a World War II salute to our country's history - albeit in a 'never was' framework, the film has its place in Hollywood musical history and should be available for all to see and to find its considerable merits.",8,1,train
"This cute animated short features two comic icons - Betty Boop and Henry.<br /><br />Henry is the bald, slightly portly boy from the comics who never speaks.<br /><br />Well here he does speak!<br /><br />He wants to get a puppy from Betty Boop's pet store, and when he is left to mind the store - some hilarious hijinks ensue.<br /><br />Betty sings a song about pets, Henry gets in a battle with birds and a monkey, but everything works out in the end.",10,1,train
"The Stone Boy is an almost forgotten drama from the 1980s. Considering how many famous or soon to be famous people are in the film, one wonders how it could have been so overlooked. This is a slow, moody, but touching account of a tragedy that befalls a farm family. The film is more or less an indictment of Midwestern stoic values and suppression of emotion. The film will not be for all tastes, but anyone who can appreciate real human drama should like it OK.<br /><br />In the early moments of the film, we see two brothers head off in the early morning hours to pick some peas and maybe shoot a duck or two if they're lucky. While climbing through a barbed wire fence, the gun accidentally discharges and the younger boy fatally shoots his older brother. These boys have apparently never taken a hunter safety course. The way for two men to properly go through a fence like this with one gun would be as follows: First man climbs through. Second man then passes him the gun through the fence. The first man then sets the gun down and helps the other through the fence. At no time should either man have his hands on both the gun and the fence.<br /><br />Anyway, once his brother is killed, 12-yr-old Arnold regresses into his own world. He does not even run for help after his brother is shot. He simply goes ahead and picks the peas and tells his family about the accident later. At no point during the funeral or inquest does Arnold seem to show any regret or sorrow at all. His family seems to shun him. Perhaps they are even angry at him for killing his brother. An ornery uncle played by Frederick Forrest is outwardly upset with Arnold, even though the older brother's death allows him to hit on the kid's girlfriend. Arnold's parents don't seem to understand how to deal with their son. They really don't even try to talk to him. About the only person he can communicate with is his grandfather who is played in typical grandfatherly skill by Wilford Brimley. After a while, Arnold even moves in with the old timer.<br /><br />Nothing seems to get Arnold to open up until he takes a bizarre road trip to Reno Nevada to inexplicably look up his uncle's ex-wife. Once he meets her, he begins to emerge from his shell after apologizing to her for breaking up her marriage by starting all of the family's turmoil with the accident. From here on, the film becomes a quick study in reconciliation and reawakening.<br /><br />The acting is hauntingly distant in most cases. Robert Duvall and Glenn Close make the perfect stoic farm parents. Forrest is good, but maybe trying too hard to channel Paul Newman's performance in Hud. The cinematography is exceptional, too. If you like moody pictures about common folk, this one may be for you. Some even may be advised to bring some tissues. 8 of 10 stars.<br /><br />The Hound.",8,1,train
"Without doubt the best of the novels of John Le Carre, exquisitely transformed into a classic film. Performances by Peter Egan (Magnus Pym, The Perfect Spy), Rudiger Weigang (Axel, real name Alexander Hampel, Magnus' Czech Intelligence controller), Ray McAnally (Magnus' con-man father) and Alan Howard (Jack Brotherhood, Magnus' mentor, believer and British controller), together with the rest of the characters, are so perfect and natural, the person responsible for casting them should have been given an award. Even the small parts, such as Major Membury, are performed to perfection. It says a lot for the power of the performances, and the strength of the characters in the novel that, despite the duplicity of Magnus, one cannot help but feel closer to Magnus and Axel than to Jack Brotherhood and the slimy Grant Lederer of U.S. Intelligence. I have read the book at least a dozen times, and watched the movie almost as many times, and continue to be mesmerized by both. If I had one book to take on a desert island, A Perfect Spy would be the choice above all others.",10,1,train
"This animated feature (a co-production between Ireland, Belgium and France) deals with what is surely one of the oddest subject ever for a movie: the creation in the 9th century of a famous illuminated manuscript, the book of Kells. In this fantastic retelling of that story, a prepubescent boy named Brendan, living in a monastery ruled by his uncle, a stern abbot who is worried preparing the defenses of the abbey from the impending attack by the feared vikings, must get into the forbidding surrounding forest to find the materials that a master illuminator named Aidan needs to finish the book. To do that task, in the forest he unexpectedly finds the help of a friendly fairy named Aisling.Gorgeously and delicately drawn by hand (there is some computer animation in a few key passages) in a manner that wants to resemble both medieval and traditional Celtic art, and with a very creative use of color and all sorts of geometric shapes, this film is relentlessly strange, but is a good strange, not of the off putting variety but of the eye opening sort. If one were to nitpick - beyond some anachronisms, like an African monk in 9th century Ireland  one would have to say that the blend of Catholic mysticism with Celtic paganism in this movie never really coalesce. And the comic relief is sometimes a bit too broad. That's why I cannot give them the highest ranking. But these are minor problems with an otherwise delightful and superbly imaginative film.",9,1,train
"Strangler of the Swamp was made by low budget studio PRC and is certainly one of their best movies I've seen.<br /><br />A man who was hanged for a murder he didn't commit returns as a ghost for revenge on the people who accused him. He uses a rope to strangle his victims and after several deaths, including the old man who operates the ferry across the swamp, he disappears. The old man's granddaughter takes over the ferry herself and also falls in love with one of the local men and they decide to get married.<br /><br />This movie has plenty of foggy atmospheres, which makes it very creepy too.<br /><br />The cast includes Rosemary La Planche, Blake Edwards and Charles Middleton (Flash Gordon) as the Strangler.<br /><br />Strangler of the Swamp is a must for old horror fans like myself. Excellent.<br /><br />Rating: 3 and a half stars out of 5.",8,1,train
"This is certainly one of my all time fav episodes of Trek. There is just so much going on in this one film that its crazy cool. First the guys beam down to an alien planet thats about to explode. They meet a freaky librarian type dude (very well played). Then Kirk manages to get himself transported back to what is very much like 16th century earth. McCoy and Spock try to follow but instead nearly freeze to death on the frozen version of the alien world 100,000 years in the past. Kirk manages to get himself locked up and charged with witchcraft while Spock enjoys some amok time with a sexy cavegirl who was vanquished to the this frozen, awful world by some bad guy.<br /><br />Spock decides hes happy where hes at and gives McCoy a royal assestment whuppin' when the doc suggests they need to look for a way out. Anyhow,they all finally escape, leaving the poor cavegirl behind. It takes a ton of convincing before Spock finally gives in and leaves. You can literally taste the sadness at the end. Leaving the cavegirl all alone in her frozen wasteland just seems cruel and is really touching. Spock must have been out of his vulkin' mind to leave behind his greatest hope for love and being human. Albeit, in a not so nice neighborhood!<br /><br />Anyway, you just get so much bang for your buck with this episode....A love story, the Salem witch trials, Spock as a human, the desperation of being left in total isolation...abandoned, and three entirely different settings on the alien planet. Its amazing they managed to jam all this into one fifty minute film. This one is a classic, don't miss it....I want it on DVD fer shure vulcans!!!!!!",10,1,train
